jobid,date,description,employer,location,salary,tags,title,url,weeknum
113232,2016-07-25,"Postmates runs the largest on-demand delivery platform in the country, we grow 5-10% week on week and…",Postmates Inc.,"San Francisco, CA","$120,000 - 170,000

                                / 
Provides Equity","[ios, objective-c, swift]",Software Engineer: iOS,/jobs/113232/software-engineer-ios-postmates-inc,30
121583,2016-07-25,"racking CodeCRCCHSPBKRSFDCA1162Job Description
Help others live well, as a Care Coach.

Are you serious…",Health Dialog,"Bakersfield, CA",,[cold-fusion],Care Coach - Spanish Bilingual,/jobs/121583/care-coach-spanish-bilingual-health-dialog,30
121582,2016-07-25,You are an experienced Drupal developer and we need your help to add more features in an existing site…,C4Media,"Sibiu, Romania",,"[ubuntu-lamp, drupal]",Drupal Developer,/jobs/121582/drupal-developer-c4media,30
109825,2016-07-25,"Summary
As Spot Trading continues to assert itself as a smart, technology-focused option trading firm,…",Spot Trading LLC,"Chicago, IL",,"[database, sql-server, nosql, cassandra, mongodb, sysadmin]",Database Administrator - DevOps - SQL,/jobs/109825/database-administrator-devops-sql-spot-trading-llc,30
105355,2016-07-25,The primary purpose of the Quality Assurance Engineer is to ensure the system meets the agreed upon…,TeleTracking Technologies,"Pittsburgh, PA",,"[c#, asp.net, qa]",QA Engineer,/jobs/105355/qa-engineer-teletracking-technologies,30
91911,2016-07-25,The position would suit a mid-to-high level programmer looking to create unique applications for both…,Wild Blue Technologies,"De Pere, WI",,"[unity3d, javascript, php, ios, c#]",Interactive Software Developer,/jobs/91911/interactive-software-developer-wild-blue-technologies,30
101423,2016-07-25,"Stuff you'll do:

Design outstanding traditional and interactive brand products and services according…",Simantel,"Peoria, IL",,[],Art Director,/jobs/101423/art-director-simantel,30
121580,2016-07-25,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,Comcast,"Washington, DC",,"[mysql, linux, search]",Software Dev & Engineering - NLP,/jobs/121580/software-dev-engineering-nlp-comcast,30
121579,2016-07-25,"

Comcast brings together the best in media and technology. We drive innovation to create the world's…",Comcast,"Naperville, IL",,"[database, networking, testing]",Sr Installation Technician,/jobs/121579/sr-installation-technician-comcast,30
121578,2016-07-25,Comcast brings together the best in media and technology. We drive innovation to create the world's best…,Comcast,"Centennial, CO",,[input],"ETS, Engineer 2",/jobs/121578/ets-engineer-2-comcast,30
121577,2016-07-25,Comcast's Technology & Product organization works at the intersection of media and technology. Our…,Comcast,"Dulles, VA",,"[background, excel]",Manager of Billing Technology Operations,/jobs/121577/manager-of-billing-technology-operations-comcast,30
114730,2016-07-25,"At Metron, we are seeking talented, experienced programmers to design and develop code, algorithms and…","Metron, Incorporated","Reston, VA",,"[python, ruby, scala, git, c++]",Software Developer,/jobs/114730/software-developer-metron-incorporated,30
121574,2016-07-25,We are looking for a highly skilled front-end developer with a keen visual sense to work on creating…,Transparensee,"New York, NY",,"[reactjs, javascript, user-interface, ruby, sass]",Front End Developer,/jobs/121574/front-end-developer-transparensee,30
