jobid,title,employer,location,salary,description,tags,url,date,weeknum,equity,currency,salary_low,salary_high,country,state,city
113204,iOS Developer: Connect fantastic TV to audiences worldwide,Magine,"Stockholm, Sweden","kr456,000 - 540,000","Why is it fun for work as a iOS developer at Magine?
We are looking for a skilled iOS developer to help…","[""ios"",""objective-c"",""swift"",""sdk"",""automated-tests""]",/jobs/113204/ios-developer-connect-fantastic-tv-to-audiences-magine,2016-06-01T07:01:01.000Z,22,False,kr,"456,000","540,000",Sweden,,Stockholm
109708,Site Reliability Engineer (m/f),Giant Swarm GmbH,"Cologne, Germany",,"You understand how systems work and tweak their behavior  to your needs?

You will design, build, and…","[""docker"",""linux"",""go"",""networking"",""security""]",/jobs/109708/site-reliability-engineer-m-f-giant-swarm-gmbh,2016-06-01T07:01:01.000Z,22,False,,0,0,Germany,,Cologne
79621,Software Engineer needed to make small business work better.,Propelware,"Lakeville, MN",,Propelware is seeking a junior to mid-level software engineer to help the company grow.  We're looking…,"[""c#"","".net"",""angularjs"",""javascript"",""sql""]",/jobs/79621/software-engineer-needed-to-make-small-business-propelware,2016-06-01T07:01:01.000Z,22,False,,0,0,US,MN,Lakeville
113203,Fullstack JavaScript Engineer at the cutting edge of big data,Qubit,"London, UK",Provides Equity,"Senior Javascript Engineer
At Qubit, the frontend team is focused on building well engineered,…","[""javascript"",""reactjs"",""node.js"",""git""]",/jobs/113203/fullstack-javascript-engineer-at-the-cutting-edge-qubit,2016-06-01T07:01:01.000Z,22,True,,0,0,UK,,London
117764,DevOps Ninja,CMP Group,"Barcelona, Spain",,"We are looking for talented, team player DevOps Engineer experienced and passionate to join our geek…","[""docker"",""python"",""amazon-web-services"",""ansible"",""vagrant""]",/jobs/117764/devops-ninja-cmp-group,2016-06-01T07:01:01.000Z,22,False,,0,0,Spain,,Barcelona
113167,"Front End Engineer - React, Angular",Sciant,"Sofia, Bulgaria",,"We are looking for engineers seeking impactful roles as front-end developers in multiple teams, for…","[""javascript"",""reactjs"",""angularjs""]",/jobs/113167/front-end-engineer-react-angular-sciant,2016-06-01T07:01:01.000Z,22,False,,0,0,Bulgaria,,Sofia
110234,Software Developer,ID Networks,"Ashtabula, OH","$40,000 - 90,000","We have multiple openings for developers of all levels. Our desktop, web, and mobile business…","[""c#"","".net"",""vb.net"",""sql-server""]",/jobs/110234/software-developer-id-networks,2016-06-01T07:01:01.000Z,22,False,$,"40,000","90,000",US,OH,Ashtabula
113201,Android Developer: Connect fantastic TV to audiences worldwide,Magine,"Stockholm, Sweden","kr456,000 - 540,000",We are looking for a skilled Android developer to help us develop the next generation TV experience for…,"[""android"",""java"",""sdk"",""automated-tests"",""oop""]",/jobs/113201/android-developer-connect-fantastic-tv-to-magine,2016-06-01T07:01:01.000Z,22,False,kr,"456,000","540,000",Sweden,,Stockholm
117762,Senior Software Development Engineer in Test,Citizens Advice,"London, UK",,"Job description
Role: Senior Software Development Engineer in Test
Date issued: 10 May 2016
Full Time…","[""bdd"",""automated-tests""]",/jobs/117762/senior-software-development-engineer-in-test-citizens-advice,2016-06-01T07:01:01.000Z,22,False,,0,0,UK,,London
117763,Cloud Services Manager,University of Essex,"Colchester, UK","£38,896 - 46,414","IT Services 

The University of Essex is seeking a Cloud Services Manager to take primary…","[""dynamics-crm"",""sharepoint"",""perl"",""sh"",""powershell"",""sysadmin""]",/jobs/117763/cloud-services-manager-university-of-essex,2016-06-01T07:01:01.000Z,22,False,£,"38,896","46,414",UK,,Colchester
